YEAR,STATE,SH_ID,SH_NAME,ORG_COUNT,SH_ZIP,SH_TYPE,Beg_Ct_D,Intake_Pub_Total_D,Intake_In_Comm_Total_D,Intake_Out_Comm_Total_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Total_Adoptions_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_Total_C,Intake_In_Comm_Total_C,Intake_Out_Comm_Total_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Total_Adoptions_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2010,NY,NYAG,NYC Adoption Guarantee Summary,116,10018,AG,899,2807,3575,167,0,6549,0,6549,6137,25,42,52,0,149,0,149,6405,56,6461,987,3361,5817,7944,485,0,14246,0,14246,13415,136,154,137,0,215,0,215,14057,481,14538,3069
2010,NY,BDSC,Black Dog Second Chance,1,14150,AG,23,33,8,59,0,100,0,100,93,0,0,0,0,0,0,0,93,1,94,29,0,4,0,1,0,5,0,5,5,0,0,0,0,0,0,0,5,0,5,0
2010,NY,BCAS,Buffalo City Animal Shelter,1,14150,AC,69,1944,1,0,179,2124,176,1948,547,207,17,476,0,834,164,670,1917,23,1940,68,60,860,6,0,77,943,75,868,339,234,0,4,,330,74,256,833,42,875,39
2010,NY,BHS,Buffalo Humane Society,1,14150,AG,22,40,31,79,0,150,0,150,147,1,1,6,0,4,0,4,159,1,160,12,13,69,1,10,0,80,0,80,67,4,0,4,0,0,0,0,75,2,77,18
2010,NY,ECSPCA,Erie County SPCA,1,14150,TS,195,3476,206,458,1104,5244,1101,4143,2565,8,48,603,0,2051,1101,950,4174,21,4195,139,430,6961,13,11,972,7957,963,6994,4745,112,91,215,0,2522,963,1559,6722,256,6978,385
2010,NY,H,Heart,1,14150,AG,0,13,0,0,0,13,0,13,10,0,0,0,0,1,0,1,11,0,11,1,114,299,45,0,0,344,0,344,334,1,0,5,0,13,0,13,353,34,387,96
2010,NY,SCSN,Second Chance Sheltering Network,1,14150,AG,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,99,253,98,0,0,351,0,351,316,0,0,0,0,3,0,3,319,23,342,71
2010,NY,TLC,Ten Lives Club,1,14150,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,930,215,31,0,1176,0,1176,1222,7,22,3,0,28,0,28,1282,41,1323,195
2010,NY,LFHSGR,"Lollypop Farm, Humane Society of Greater Rochester",1,14450,TS,110,2283,0,418,317,3018,284,2734,1642,0,126,151,0,1057,284,773,2692,41,2733,111,309,7097,0,57,615,7769,544,7225,4022,0,30,333,0,3255,544,2711,7096,101,7197,337
2010,NY,PPNY,Pet Pride of New York,1,14506,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,29,0,29,29,0,0,0,0,1,0,1,30,1,31,22
